"ID","degree","eigen_clust","walk_clust","LastName","ORCID"
"14926387-74a6-4665-83fc-e44ff3e335b9",6,242,238,"Holmes",""
"149a751d-bce3-4979-88e4-e6c2f4e5a9e7",3,289,12,"Beget",""
"14bfc414-c643-4339-9bfe-91d4219d8ad3",1,265,43,"Stoker",""
"14c2fd51-1e45-4993-90ca-a42dee24ae43",4,95,135,"Polyak",""
"14c64166-d7b9-4dac-a308-fe22b068f0c2",3,73,248,"Shaver",""
"14d1a756-9a01-469b-9ab2-3d064580dd3a",4,1,24,"Post",""
"14f486cb-bfcc-4a4e-bd03-fe8e8cd02a58",4,3,38,"Parno",""
"15488831-e094-43cd-8350-6d8f58c0733f",1,24,300,"Gilmore","https://orcid.org/0000-0002-4815-854X"
"155f48d1-e3a7-49e6-8f25-dee90eae84ef",2,151,116,"Schimel",""
"155fe4dd-ae75-4be5-bd07-67413d560f17",59,283,6,"Lillie",""
"1598deff-87e4-497f-9bd1-72611a2d5f7c",4,1,24,"Hauer",""
"15a6c020-2816-4692-b6a0-2e1b0f5d8d8b",2,63,256,"Campbell",""
"15bd0ebe-194c-4b14-b67f-f61bf53e1a84",8,283,6,"Kade",""
"15bf46ff-ddf5-49d1-bd90-9574276fb969",2,289,56,"Kikuchi",""
"15c1c003-f84d-417b-a099-518cc47542f6",5,289,6,"Webber",""
"15f6e7cb-8872-4536-ba2d-18227a06434d",4,1,24,"Hauer",""
"1624c6fd-9b49-43f5-a8c6-3d52b99cd293",10,114,257,"Simizu",""
"16274c6f-c853-417c-9fe9-812e1764ae49",2,289,1,"Bromwich",""
"1635d53a-6dfd-4763-8b45-888f0eb5c178",4,1,24,"Post",""
"1638c4a9-26e2-4f3f-9f9a-7eb9d23a1d9d",2,175,155,"Alford",""
"169d34d6-0d5f-4b60-82af-db091ba6aefd",8,286,6,"Meier",""
"16c1782d-1371-4650-a886-6cb8f4d02c74",3,73,248,"Laundre",""
"16c71e26-149b-4342-9957-6d1fa73935c9",4,1,24,"Hauer",""
"16d998b7-68f9-4047-8a22-eff67df022b7",61,286,6,"McGuire",""
"16f648d1-852a-4a5d-8e42-56b1a7928408",2,51,212,"Bowden",""
"17013de3-3be1-42ef-b192-1fa09aa4ca3e",5,3,5,"Panteleev",""
"1736390c-4331-422d-a58a-1dbc0055ffe6",7,3,6,"Spitz",""
"176c115d-85ef-4774-9e85-2bdb5d5f099a",5,82,216,"Czimczik",""
"17a21177-2404-4f43-b10a-bb7480ba4369",4,283,6,"Edwards",""
"17ace9ed-db60-4457-8dc3-9336c6864c03",2,43,183,"Natali",""
"17ad4ab6-bd86-4451-89a5-5ef60011c16a",1,283,6,"Lederer",""
"181d1133-08d8-424d-b091-0c24768aa6e5",1,289,1,"Gearheard",""
"181e4b92-0fc3-4c79-87ac-2a1a453f2251",5,289,29,"Post",""
"1840aad5-5bb8-4403-836d-314dd2708689",4,1,24,"Post",""
"18552d1c-145c-4c5d-973a-bb58db98b3c0",2,190,319,"Hastings",""
"18583d9a-c1f3-4c27-ac20-1ca10313f715",3,3,23,"Pratt","https://orcid.org/0000-0003-4707-2290"
"188b879b-833a-4eb0-9381-ee932696df8c",4,1,24,"Post",""
